Positive_ID,ID,Legante,Famiglia_Legante,Metallo,Sale_Metallico,Solvente,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Volume solvente,Hydration_Number,Counterion_Class,Oxidation_State,Procedura_Sintetica,Esito_ML,Positive_Library_Source,Split_Set,Critical_Completeness,Extended_Completeness,Completeness_Score,Source_Quality_Score,Diversity_Weight,Evidence_Weight,Quality_Tier,PXRD_Confirmed,Condition_Signature,Source_DOI,Extraction_Method
POS-0001,76,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,160,24.0,0.2,0.1,2.0,,4.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.19364916731037082,0.7691048334620741,B,True,cd|bipyrazole|nitrate|dmf|nessuno|160|24|2.0,,curated_project_dataset
POS-0002,122,3-MePz-4-COOH,Pyrazole carbossilati,Cu,Cu(OAc)2·H2O,H2O,Nessuno,120,96.0,0.2,0.1,2.0,,1.0,acetate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.7071067811865476,0.8717963562373096,A,True,cu|pyrazole carbossilati|acetate|h2o|nessuno|120|96|2.0,,curated_project_dataset
POS-0003,125,3-MePz-4-COOH,Pyrazole carbossilati,Mn,Mn(OAc)2·4H2O,DMF/H2O,Nessuno,120,24.0,0.2,0.1,2.0,,4.0,acetate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,1.0,0.930375,A,True,mn|pyrazole carbossilati|acetate|dmf/h2o|nessuno|120|24|2.0,,curated_project_dataset
POS-0004,126,3-MePz-4-COOH,Pyrazole carbossilati,Mn,Mn(OAc)2·4H2O,DMF/H2O,Nessuno,120,72.0,0.2,0.1,2.0,,4.0,acetate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,1.0,0.930375,A,True,mn|pyrazole carbossilati|acetate|dmf/h2o|nessuno|120|72|2.0,,curated_project_dataset
POS-0005,127,3-MePz-4-COOH,Pyrazole carbossilati,Ni,Ni(NO3)2,DMF/H2O,Nessuno,120,72.0,0.2,0.1,2.0,,0.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,1.0,0.930375,A,True,ni|pyrazole carbossilati|nitrate|dmf/h2o|nessuno|120|72|2.0,,curated_project_dataset
POS-0006,137,"3-nitro-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,160,24.0,0.2,0.1,2.0,,4.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.19364916731037082,0.7691048334620741,B,True,cd|bipyrazole|nitrate|dmf|nessuno|160|24|2.0,,curated_project_dataset
POS-0007,161,"3,3'-dinitro-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,150,24.0,0.1,0.1,1.0,,4.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.273861278752583,0.7851472557505166,A,True,cd|bipyrazole|nitrate|dmf|nessuno|150|24|1.0,,curated_project_dataset
POS-0008,164,"3,3'-dinitro-4,4'-bipyrazole",Bipyrazole,Co,Co(OAc)2·4H2O,DMF/H2O,Nessuno,160,48.0,0.2,0.1,2.0,,4.0,acetate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.22742941307367096,0.7758608826147342,B,True,co|bipyrazole|acetate|dmf/h2o|nessuno|160|48|2.0,,curated_project_dataset
POS-0009,169,"3,3'-dinitro-4,4'-bipyrazole",Bipyrazole,Co,Co(NO3)2·6H2O,DMF,Nessuno,160,6.0,0.2,0.1,2.0,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.3216337604513384,0.7947017520902677,A,True,co|bipyrazole|nitrate|dmf|nessuno|160|6|2.0,,curated_project_dataset
POS-0010,170,"3,3'-dinitro-4,4'-bipyrazole",Bipyrazole,Cu,Cu(NO3)2·3H2O,DMF/H2O,Nessuno,160,48.0,0.2,0.1,2.0,,3.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.26726124191242434,0.7838272483824849,A,True,cu|bipyrazole|nitrate|dmf/h2o|nessuno|160|48|2.0,,curated_project_dataset
POS-0011,175,"3,3'-dinitro-4,4'-bipyrazole",Bipyrazole,Cu,Cu(NO3)2·3H2O,DMF,Nessuno,160,6.0,0.2,0.1,2.0,,3.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.26726124191242434,0.7838272483824849,A,True,cu|bipyrazole|nitrate|dmf|nessuno|160|6|2.0,,curated_project_dataset
POS-0012,177,"3,3'-dinitro-4,4'-bipyrazole",Bipyrazole,Zn,Zn(NO3)2·6H2O,DMF/H2O,Nessuno,160,48.0,0.2,0.1,2.0,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.29704426289300223,0.7897838525786004,A,True,zn|bipyrazole|nitrate|dmf/h2o|nessuno|160|48|2.0,,curated_project_dataset
POS-0013,181,"3,3'-dinitro-4,4'-bipyrazole",Bipyrazole,Zn,Zn(NO3)2·6H2O,DMF/H2O,Nessuno,160,24.0,0.1,0.2,0.5,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.29704426289300223,0.7897838525786004,A,True,zn|bipyrazole|nitrate|dmf/h2o|nessuno|160|24|0.5,,curated_project_dataset
POS-0014,182,"3,3'-dinitro-4,4'-bipyrazole",Bipyrazole,Zn,Zn(NO3)2·6H2O,DMF,Nessuno,160,6.0,0.2,0.1,2.0,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.29704426289300223,0.7897838525786004,A,True,zn|bipyrazole|nitrate|dmf|nessuno|160|6|2.0,,curated_project_dataset
POS-0015,195,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,140,72.0,0.48,0.2,2.4,,4.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.273861278752583,0.7851472557505166,A,True,cd|bipyrazole|nitrate|dmf|nessuno|140|72|2.5,,curated_project_dataset
POS-0016,224,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,Co,Co(NO3)2·6H2O,DMF/H2O,Nessuno,150,72.0,0.05,0.05,1.0,,6.0,nitrate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.22742941307367096,0.7758608826147342,B,True,co|bipyrazole|nitrate|dmf/h2o|nessuno|150|72|1.0,,curated_project_dataset
POS-0017,284,"3,5-DiMePz-4-COOH",Pyrazole carbossilati,Cu,Cu(OAc)2·H2O,H2O,Nessuno,120,48.0,0.2,0.1,2.0,,1.0,acetate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.7071067811865476,0.8717963562373096,A,True,cu|pyrazole carbossilati|acetate|h2o|nessuno|120|48|2.0,,curated_project_dataset
POS-0018,286,"3,5-DiMePz-4-COOH",Pyrazole carbossilati,Cu,Cu(OAc)2·H2O,EtOH,Nessuno,120,48.0,0.2,0.1,2.0,,1.0,acetate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.7071067811865476,0.8717963562373096,A,True,cu|pyrazole carbossilati|acetate|etoh|nessuno|120|48|2.0,,curated_project_dataset
POS-0019,288,"3,5-DiMePz-4-COOH",Pyrazole carbossilati,Zn,Zn(OAc)2·2H2O,EtOH,Nessuno,120,48.0,0.2,0.1,2.0,,2.0,acetate,2.0,Solvothermal,2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.8660254037844385,0.9035800807568877,A,True,zn|pyrazole carbossilati|acetate|etoh|nessuno|120|48|2.0,,curated_project_dataset
POS-0020,369,Et4BPz,Organometallica - pirazoli,Ru,[Ru(p-cymene)Cl2]2,MeOH,Nessuno,120,4.0,0.1,0.1,1.0,,0.0,chloride,2.0,"Solubilizzato il dimero del metallo in 10 ml di MeOH, una volta solulbilizzato ho aggiunto il legante e lasciato in stirring per 16 ore.",2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.26111648393354675,0.7825982967867093,A,True,ru|organometallica - pirazoli|chloride|meoh|nessuno|120|6|1.0,,curated_project_dataset
POS-0021,371,H2BPZNH2,Organometallica - pirazoli,Ru,[Ru(p-cymene)Cl2]2,MeOH,Nessuno,120,4.0,0.1,0.1,1.0,,0.0,chloride,2.0,"Dopo 4 ore ancora nessuna cristallizzazione, evaporato un po di solvente e poi messo in frido appena raffreddato. Aggiunto eteredietilico, perchè non vi era avvenuta cristallizzazione.",2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.26111648393354675,0.7825982967867093,A,True,ru|organometallica - pirazoli|chloride|meoh|nessuno|120|6|1.0,,curated_project_dataset
POS-0022,374,FErrocenylPz,Organometallica,Non specificato,PdCl2·(CH3CN)2,MeOH,Nessuno,120,4.0,0.2,0.1,2.0,,0.0,chloride,2.0,"Ho sciolto il palladio in 10 ml di metanolo in un pallone a due colli dove insufflavo argono. Dopo 15 minuti ho aggiunto il legante e lasciato insufflare argon per altri 10 minuti, poi cessato il flusso di argon ho messo il tappo. Subito dopo l'aggiunta del legante ho notato cambio di colore con intorbidimento della soluzione. Ho filtrato il precipitato e le acque madri le ho messe in una vial per far evaporare lentamente il solvente. Ilprecipitato era il legante, visto all'IR",2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,1.0,0.930375,A,True,non specificato|organometallica|chloride|meoh|nessuno|120|6|2.0,,curated_project_dataset
POS-0023,379,"1,4-Di(1H-pyrazol-4-yl)benzene",Organometallica - pirazoli,Ru,[Ru(p-cymene)Cl2]2,MeOH,Nessuno,120,24.0,0.2,0.1,2.0,,0.0,chloride,2.0,"To a methanolic (5 mL) solution of pyrazole based ligand , was added a methanolic (5 mL) solution of [RuCl2(η6-p-cymene)]2 , and the reaction mixture was allowed to stir for 4 h at room temperature. Dopo 24 ore ho filtrato l'eccesso di reagenti e lasciato poi dimezzare il volume della soluzione all'aria lentamente. Portato a secco e mandato l'HNMR",2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.3692744729379981,0.8042298945875996,A,True,ru|organometallica - pirazoli|chloride|meoh|nessuno|120|24|2.0,,curated_project_dataset
POS-0024,380,(NO2)2BPz,Organometallica - pirazoli,Ru,[Ru(p-cymene)Cl2]2,MeOH,Nessuno,120,24.0,0.1,0.05,2.0,,0.0,chloride,2.0,"filtrato e lavato con metanolo, dopo aver dimezzato il volume della soluzione.Precipitato di colore nero, ma sembra cristallino",2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,0.3692744729379981,0.8042298945875996,A,True,ru|organometallica - pirazoli|chloride|meoh|nessuno|120|24|2.0,,curated_project_dataset
POS-0025,382,FErrocenylPz,Organometallica,Non specificato,PdCl2·(CH3CN)2,MeOH,Nessuno,120,6.0,0.1,0.1,1.0,,0.0,chloride,2.0,"Ho pesato il dimero e sciolto in 10 ml di MeOH; una volta sulubilizzato ho aggiunto il legante e lasciato sotto agitazione per 6ORE. Ho lasciato dimezzare il volume all'aria, poi aggiunto qualche goccia di dietiletere e messo in frigo. Il precipitato ottenuto l'ho filtrato.",2,curated_development_positive,DEVELOPMENT,1.0,0.875,0.96875,0.82,1.0,0.930375,A,True,non specificato|organometallica|chloride|meoh|nessuno|120|6|1.0,,curated_project_dataset
POS-0026,386,Ru1,Organometallica,Ru,CAgF3SO3,MeCN,Nessuno,120,3.0,0.06,0.12,0.5,,0.0,other,,lasciato aperto a temperatura ambiente per cercare di ridurre il volume di solvente e favorire una cristallizzazione,2,curated_development_positive,DEVELOPMENT,1.0,0.75,0.9375,0.82,0.8660254037844385,0.8879550807568877,A,True,ru|organometallica|other|mecn|nessuno|120|0|0.5,,curated_project_dataset
