Registry_ID,Canonical_Ligand_Key,Canonical_Ligand_Name,Metal,Reported_Oxidation_State,MOF_Name,Reference_Title,Source_DOI,Reference_Role,Verification_Status,Scope_Note
MOFREF_001,bdc,"1,4-benzenedicarboxylic acid (H2BDC)",Zr,4,UiO-66,A New Zirconium Inorganic Building Brick Forming Metal Organic Frameworks with Exceptional Stability,10.1021/ja8057953,original framework report,curated DOI and pair,"The pair is literature-known; phase identity still requires diffraction comparison."
MOFREF_002,bdc,"1,4-benzenedicarboxylic acid (H2BDC)",Zn,2,MOF-5 / IRMOF-1,Design and synthesis of an exceptionally stable and highly porous metal-organic framework,10.1038/46248,original framework report,curated DOI and pair,"The pair is literature-known; phase identity still requires diffraction comparison."
MOFREF_003,bdc,"1,4-benzenedicarboxylic acid (H2BDC)",Cr,3,MIL-101(Cr),MIL-101(Cr) synthesis using rice husk as silica source for efficient removal of 4-nitrophenol from aqueous solution,10.1016/j.heliyon.2024.e31341,verified synthesis and characterization,curated DOI and pair,"The reference explicitly synthesizes and characterizes MIL-101(Cr); the registry does not claim this is the only Cr-BDC phase."
MOFREF_004,bdc,"1,4-benzenedicarboxylic acid (H2BDC)",Al,3,MIL-53(Al),Synthesis and Properties of MIL-53(Al) under Mild Aqueous Conditions,10.1021/jacs.9b07557,verified synthesis and characterization,curated DOI and pair,"The pair is literature-known; phase identity still requires diffraction comparison."
MOFREF_005,btc,"benzene-1,3,5-tricarboxylic acid (H3BTC)",Cu,2,HKUST-1 / Cu-BTC / MOF-199,"In situ evolved gas analysis assisted thermogravimetric (TG–FTIR and TG/DTA–MS) studies on non-activated copper benzene-1,3,5-tricarboxylate",10.1016/j.tca.2016.11.013,verified synthesis and characterization,curated DOI and pair,"The reference reports crystalline HKUST-1; aliases are displayed to aid recognition."
MOFREF_006,2mim,2-methylimidazole,Zn,2,ZIF-8,Controlling ZIF-8 nano- and microcrystal formation and reactivity through zinc salt variations,10.1039/C3CE42485E,verified synthesis and characterization,curated DOI and pair,"The pair is literature-known; phase identity still requires diffraction comparison."
MOFREF_007,2mim,2-methylimidazole,Co,2,ZIF-67,Tuning Coordination in ZIF-67 for Enhanced Alkaline Hydrogen Evolution,10.1021/acsami.4c07877,verified synthesis and characterization,curated DOI and pair,"The pair is literature-known; phase identity still requires diffraction comparison."
MOFREF_008,dobdc,"2,5-dihydroxyterephthalic acid (H4DOBDC)",Mg,2,Mg-MOF-74 / CPO-27-Mg,Thermodynamics Drives the Stability of the MOF-74 Family in Water,10.1021/acsomega.0c01189,verified synthesis and characterization,curated DOI and pair,"The reference includes Mg-MOF-74; the pair is not treated as a unique structural identifier."
MOFREF_009,dobdc,"2,5-dihydroxyterephthalic acid (H4DOBDC)",Ni,2,Ni-MOF-74 / CPO-27-Ni,Thermodynamics Drives the Stability of the MOF-74 Family in Water,10.1021/acsomega.0c01189,verified synthesis and characterization,curated DOI and pair,"The reference includes Ni-MOF-74; the pair is not treated as a unique structural identifier."
MOFREF_010,bpz,"4,4'-bipyrazole (H2BPZ)",Zn,2,Zn(BPZ) framework,"Novel Coordination Frameworks Incorporating the 4,4′-Bipyrazolyl Ditopic Ligand",10.1021/ic3001416,original framework report,curated DOI and pair,"The paper reports an isomorphous porous Zn(BPZ) network; solvation and activation state may vary."
MOFREF_011,bpz,"4,4'-bipyrazole (H2BPZ)",Co,2,Co(BPZ) framework,"Novel Coordination Frameworks Incorporating the 4,4′-Bipyrazolyl Ditopic Ligand",10.1021/ic3001416,original framework report,curated DOI and pair,"The paper reports an isomorphous porous Co(BPZ) network; solvation and activation state may vary."
MOFREF_012,bpz,"4,4'-bipyrazole (H2BPZ)",Cu,2,Cu(BPZ) framework,"Novel Coordination Frameworks Incorporating the 4,4′-Bipyrazolyl Ditopic Ligand",10.1021/ic3001416,original framework report,curated DOI and pair,"The paper reports an isomorphous porous Cu(BPZ) network; solvation and activation state may vary."
MOFREF_013,bpz,"4,4'-bipyrazole (H2BPZ)",Ni,2,Ni(BPZ) framework,"Novel Coordination Frameworks Incorporating the 4,4′-Bipyrazolyl Ditopic Ligand",10.1021/ic3001416,original framework report,curated DOI and pair,"The paper reports an isomorphous porous Ni(BPZ) network; solvation and activation state may vary."
MOFREF_014,me4bpz,"3,3',5,5'-tetramethyl-4,4'-bipyrazole (H2Me4BPZ)",Ni,2,Ni-Me4BPZ layered MOF,A flexible ligand-based wavy layered metal-organic framework for lithium-ion storage,10.1016/j.jcis.2015.01.012,original framework report,curated DOI and pair,"This entry is exact only for the tetramethyl-substituted bipyrazole and is never matched to unsubstituted H2BPZ."
MOFREF_015,amino_bpz,"3-amino-4,4'-bipyrazole (H2BPZNH2)",Co,2,Co(BPZNH2),"Cobalt(II) Bipyrazolate Metal–Organic Frameworks as Heterogeneous Catalysts in Cumene Aerobic Oxidation: A Tag-Dependent Selectivity",10.1021/acs.inorgchem.0c00481,original functionalized-framework report,curated DOI and pair,"This entry is exact only for the 3-amino derivative and is never matched to unsubstituted H2BPZ."
MOFREF_016,nitro_bpz,"3-nitro-4,4'-bipyrazole (H2BPZNO2)",Co,2,Co(BPZNO2),"Cobalt(II) Bipyrazolate Metal–Organic Frameworks as Heterogeneous Catalysts in Cumene Aerobic Oxidation: A Tag-Dependent Selectivity",10.1021/acs.inorgchem.0c00481,original functionalized-framework report,curated DOI and pair,"This entry is exact only for the 3-nitro derivative and is never matched to unsubstituted H2BPZ."
